etiqueta,N,RMSE_dex,MAE_dex,bias_dex,sigma_residuos_dex,MAD_dex,sigma_MAD_dex,pearson,spearman
Pretrained-Pipe3D (sin fine-tune) · Val · Taylor labels,1149,0.605506962408385,0.5408847757377657,0.5264222408191758,0.2993263829239304,0.18256282806396484,0.2706676488876343,0.9325405606540051,0.9358137998712909
Pretrained-Pipe3D (sin fine-tune) · Test · Taylor labels,835,0.5838095163832411,0.5233026218985369,0.5167540064828838,0.2718222508020704,0.1692056655883789,0.25086431980133056,0.9361464476065612,0.9336850308882768
Fine-tune Taylor · Val · seed=42,1149,0.277037112972968,0.19896223235898064,0.06279962305611793,0.26994293650340784,0.14658069610595703,0.21732054004669188,0.9375091397521457,0.9404456676611053
Fine-tune Taylor · Test · seed=42,835,0.25834994167604963,0.1937014391322336,0.07017349654329037,0.24878604843134916,0.1452474594116211,0.2153438833236694,0.9389416620805769,0.9382084201704334
